probeID	gene_name	rank_time0	rank_time10	rank_time20	rank_time30	rank_time45	rank_time60	rank_time90	rank_time120
5646_at	ALD5	32	24	40	33	32	32	38	34
8593_at	ARG1	9	19	16	27	46	44	26	28
11114_at	ARG3	3	10	26	42	47	41	22	33
4537_at	ARG4	19	17	22	40	44	46	31	35
4568_at	ARN1	20	27	24	14	12	11	10	16
7291_at	BAP2	37	28	36	25	31	26	37	30
4321_at	BAT1	26	29	28	21	17	25	29	26
4899_at	CLB6	40	47	48	48	48	19	23	18
3190_f_at	COS8	46	46	47	44	43	38	44	44
10105_at	CRR1	47	43	43	46	23	22	9	6
9442_s_at	DDR48	2	5	4	4	4	6	5	11
4392_at	DSE2	17	33	19	16	7	8	25	5
10899_at	ECM27	10	32	2	3	1	2	2	3
9592_at	ECM40	7	9	11	37	41	40	18	38
10521_at	FMP46	28	35	32	23	13	18	39	27
10106_at	FRE1	42	30	23	13	6	3	3	2
10511_at	GAP1	41	50	50	50	50	49	50	47
6665_at	GGC1	25	16	17	39	42	45	35	41
8513_at	GLO4	49	49	46	47	40	48	47	50
10060_at	GSY2	13	21	31	24	20	16	14	17
10895_at	HMS2	29	41	39	28	25	7	32	24
10143_at	HMX1	44	23	9	9	9	10	8	7
5633_at	HOR2	5	13	7	10	16	17	7	13
5372_at	HSP12	1	3	1	15	28	36	49	46
6532_at	IDP1	21	11	6	5	19	29	16	29
6871_at	ILV6	34	25	18	18	21	35	28	36
7789_at	LEE1	18	18	30	34	33	21	24	19
5008_at	LEU1	27	14	14	8	10	9	13	20
10524_at	MRS4	43	20	42	32	18	15	11	9
6197_at	MTH1	11	38	13	2	5	5	4	4
10709_at	OAC1	30	31	29	11	8	12	21	15
8334_at	ODC2	35	37	44	43	49	43	17	23
7944_at	OYE3	48	48	49	49	39	47	43	48
10756_at	PIR3	39	45	37	36	30	23	34	37
4198_at	SDP1	16	42	45	45	45	50	48	49
5246_at	SDT1	15	6	27	35	34	28	20	22
9538_at	SNZ1	36	12	12	7	22	37	41	39
4768_at	SOL4	6	40	34	38	36	24	40	42
4385_at	SPL2	12	7	3	1	2	1	1	1
10653_at	SRX1	45	34	33	29	14	20	12	10
10878_at	STR2	22	8	35	41	37	34	30	32
7067_at	SUL1	24	36	38	17	26	30	46	14
10158_at	TFS1	23	26	21	30	24	14	19	21
5523_at	TMT1	8	2	5	31	35	39	27	31
6095_at	TRP4	4	4	10	20	27	27	15	12
6012_at	TSA2	38	39	15	26	29	33	42	40
11165_at	URA2	31	22	20	6	3	4	33	25
4946_at	VHT1	14	1	8	19	15	13	6	8
4503_at	YHI9	33	15	25	22	38	42	36	43
8726_at	ZPS1	50	44	41	12	11	31	45	45
